Date,Actual Sales,Predicted Sales
2023-08-01,24.99,99.56700000000012
2021-08-03,46.0,30.272400000000026
2022-12-11,27.6,29.829500000000003
2023-10-04,39.2,38.0675
2024-02-01,42.0,46.834
2023-01-11,38.36,38.143999999999984
2022-07-11,58.8,45.81589999999999
2021-08-07,35.0,39.843799999999966
2024-01-10,38.0,31.15679999999999
2023-11-04,23.0,32.73910000000001
2023-01-12,44.0,40.46879999999998
2021-07-12,30.0,44.693200000000004
2022-08-06,24.48,23.13560000000002
2023-10-08,57.98,69.0738
2022-02-08,21.0,34.1531
2021-08-01,34.0,28.88409999999999
2024-01-09,75.6,63.82630000000003
2022-05-09,17.15,25.955399999999987
2021-07-10,25.6,61.37500000000003
2022-02-06,69.16,57.79739999999995
2021-02-06,25.0,35.95079999999998
2022-04-04,34.3,36.852599999999995
2021-04-03,37.8,38.14020000000001
2023-12-01,58.5,37.40319999999999
2021-10-05,47.6,53.00350000000001
2021-12-09,31.2,37.43839999999997
2021-07-07,38.2,33.89869999999999
2023-07-09,40.0,43.088
2023-12-12,70.2,67.15389999999995
2021-06-04,39.2,42.17860000000002
2023-08-10,71.89,49.712199999999996
2023-07-10,88.92,75.60310000000008
2022-04-10,60.06,45.09230000000005
2023-12-07,25.2,39.29149999999998
2023-08-04,15.6,39.66049999999998
2021-07-09,38.0,44.23830000000002
2022-06-08,50.0,35.47589999999998
2021-10-02,61.6,41.059000000000005
2021-04-12,31.0,37.1364
2023-04-02,48.0,48.43320000000001
2023-05-11,19.6,23.23580000000001
2021-12-08,42.0,42.11880000000002
2022-09-03,18.0,27.1192
2021-08-04,46.0,37.16409999999999
2022-02-07,36.4,40.259800000000055
2021-04-06,24.0,37.636700000000026
2022-02-10,26.0,40.021300000000025
2023-07-06,34.6,48.65220000000003
2021-08-02,55.0,39.33500000000001
2022-10-07,13.2,45.010600000000004
2023-09-08,44.6,39.39110000000003
2021-02-12,31.0,45.153699999999986
2023-09-05,77.0,57.29199999999996
2021-12-03,49.0,36.24620000000001
2021-01-09,56.0,40.55500000000001
2021-03-04,28.0,34.68529999999999
2023-01-01,34.56,32.57439999999997
2023-01-10,35.0,38.56989999999999
2021-06-05,65.8,43.6931
2022-08-01,24.99,96.91340000000005
2023-06-02,22.0,24.540199999999974
2021-09-06,27.0,28.732400000000002
2023-05-02,28.0,34.47539999999999
2023-01-06,51.8,47.72510000000001
2023-01-05,38.0,41.803700000000006
2023-08-08,63.0,45.14580000000001
2021-03-10,58.8,38.611499999999985
2023-08-02,42.9,39.96670000000005
2023-12-05,27.6,45.04069999999999
2021-11-02,58.8,45.38259999999997
2021-05-03,39.0,34.59500000000001
2022-03-06,22.0,37.71650000000001
2023-12-04,46.0,39.464
2023-11-12,48.9,38.552299999999974
2023-03-09,32.83,32.092699999999994
2021-12-01,44.0,50.897800000000004
2023-03-02,31.2,44.6641
2021-03-07,47.6,33.99
2021-05-07,23.0,38.06010000000001
2021-09-03,29.0,34.74739999999999
2022-10-02,62.3,48.65590000000003
2021-11-05,44.0,43.953399999999995
2024-01-02,27.6,29.796799999999962
2021-06-06,35.0,35.86919999999999
2022-01-02,27.6,30.05059999999996
2021-03-09,38.0,39.0925
2021-03-02,46.0,37.871100000000006
2021-07-03,46.2,48.82300000000002
